Frequency of observations in the selected location(s).:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of taxa: ,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Andean Condor (<em class=""sci"">Vultur gryphus</em>)",0.0015,0,0.5,0.5,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0.5,0,0,0,0
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0.5,0,0,0,0
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Chilean Hawk (<em class=""sci"">Accipiter chilensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Variable Hawk (<em class=""sci"">Geranoaetus polyosoma</em>)",0.0015,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3333333,0,0,0,0,0.0015,0
"Ringed Kingfisher (<em class=""sci"">Megaceryle torquata</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0015,0,0,0,0,0,0,0
"Striped Woodpecker (<em class=""sci"">Dryobates lignarius</em>)",0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.0015,0,0,0,0,0
"Magellanic Woodpecker (<em class=""sci"">Campephilus magellanicus</em>)",0.0015,0,1,0.5,0,0,0,0,0,0,0,0,1,0,1,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0015,1,0.0015,0,0,0,0,0
"Chilean Flicker (<em class=""sci"">Colaptes pitius</em>)",0.0015,0,0,0.5,0,0,0,0,0.0015,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666667,0,0,0,0,0,0
"Crested Caracara (<em class=""sci"">Caracara plancus</em>)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0.5,0,0,0,0
"Chimango Caracara (<em class=""sci"">Daptrius chimango</em>)",1,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0015,0.3333333,0,0,0,0,0,0
"White-throated Caracara (<em class=""sci"">Daptrius albogularis</em>)",1,0,0.0015,0.5,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,1,0,0,0,0
"American Kestrel (<em class=""sci"">Falco sparverius</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Austral Parakeet (<em class=""sci"">Enicognathus ferrugineus</em>)",0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Black-throated Huet-huet (<em class=""sci"">Pteroptochos tarnii</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chucao Tapaculo (<em class=""sci"">Scelorchilus rubecula</em>)",0.0015,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6666667,0,0,0,0,0,0
"Magellanic Tapaculo (<em class=""sci"">Scytalopus magellanicus</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Common Miner (<em class=""sci"">Geositta cunicularia</em>)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous-banded Miner (<em class=""sci"">Geositta rufipennis</em>)",1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-throated Treerunner (<em class=""sci"">Pygarrhichas albogularis</em>)",0.0015,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0,0,0,0,0
"Scale-throated Earthcreeper (<em class=""sci"">Upucerthia dumetaria</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buff-winged Cinclodes (<em class=""sci"">Cinclodes fuscus</em>)",0.0015,0,0.5,0,0,0,0,0,1,1,0,1,1,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0015,0,0
"Gray-flanked Cinclodes (<em class=""sci"">Cinclodes oustaleti</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dark-bellied Cinclodes (<em class=""sci"">Cinclodes patagonicus</em>)",0,0,0.0015,0.5,0,0,0,0,0,1,0,0,1,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0015,0,0,0,0,0,0,0
"Thorn-tailed Rayadito (<em class=""sci"">Aphrastura spinicauda</em>)",0.0015,0,0.5,0.5,0,0,0,0,1,1,0,1,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0,0,0,0,0
"Des Murs's Wiretail (<em class=""sci"">Sylviorthorhynchus desmursii</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plain-mantled Tit-Spinetail (<em class=""sci"">Leptasthenura aegithaloides</em>)",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sharp-billed Canastero (<em class=""sci"">Asthenes pyrrholeuca</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rufous-tailed Plantcutter (<em class=""sci"">Phytotoma rara</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tufted Tit-Tyrant (<em class=""sci"">Anairetes parulus</em>)",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"White-crested Elaenia (<em class=""sci"">Elaenia albiceps</em>)",0.0015,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.6666667,0,0,0,0.0015,0,0
"Cinereous Ground-Tyrant (<em class=""sci"">Muscisaxicola cinereus</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0
"Ochre-naped Ground-Tyrant (<em class=""sci"">Muscisaxicola flavinucha</em>)",0,0,0.5,1,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Dark-faced Ground-Tyrant (<em class=""sci"">Muscisaxicola maclovianus</em>)",0.0015,0,0.0015,0.5,0,0,0,0,1,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0.0015,0,0
"White-browed Ground-Tyrant (<em class=""sci"">Muscisaxicola albilora</em>)",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.6666667,0,1,0,0.0015,0,0
"Fire-eyed Diucon (<em class=""sci"">Pyrope pyrope</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666667,0,0,0,0,0,0
"Black-billed Shrike-Tyrant (<em class=""sci"">Agriornis montanus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0
"Patagonian Tyrant (<em class=""sci"">Colorhamphus parvirostris</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Chilean Swallow (<em class=""sci"">Tachycineta leucopyga</em>)",0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0.5,0,0,0,0
"Blue-and-white Swallow (<em class=""sci"">Pygochelidon cyanoleuca</em>)",0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"House Wren (<em class=""sci"">Troglodytes aedon</em>)",0,0,1,0.5,0,0,0,0,1,0,0,0,1,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0.5,0,0,0,0
"Austral Thrush (<em class=""sci"">Turdus falcklandii</em>)",0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0,0,0,0,0
"House Sparrow (<em class=""sci"">Passer domesticus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0
"Black-chinned Siskin (<em class=""sci"">Spinus barbatus</em>)",0.0015,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666667,0,0,0,0,0,0
"Rufous-collared Sparrow (<em class=""sci"">Zonotrichia capensis</em>)",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6666667,0,0,0,0,0,0
"Austral Blackbird (<em class=""sci"">Curaeus curaeus</em>)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gray-hooded Sierra Finch (<em class=""sci"">Phrygilus gayi</em>)",0.0015,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0015,0,0
"Patagonian Sierra Finch (<em class=""sci"">Phrygilus patagonicus</em>)",1,0,0.5,1,0,0,0,0,0,1,0,1,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666667,0,1,0,0,0.0015,0
"Diuca Finch (<em class=""sci"">Diuca diuca</em>)",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yellow-bridled Finch (<em class=""sci"">Melanodera xanthogramma</em>)",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0015,0,0
"Plumbeous Sierra Finch (<em class=""sci"">Geospizopsis unicolor</em>)",0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0.0015,0,0
